"Variable Name","Tables Used In","Category Label","Category Code - Owner (if tenure affects variable codes)","Category Code - Renter (if tenure affects variable codes)","Census Recode"
"Tenure (2)","Tables 1-13","Total",,,
"Tenure (2)","Tables 1-13","Owner","TEN=1:2",,
"Tenure (2)","Tables 1-13","Renter","TEN=3:4",,
,,,,,
"Housing Problems (3)","Table 1, Table 4, Table 5, Table 6, Table 11","Total",,,
"Housing Problems (3)","Table 1, Table 4, Table 5, Table 6, Table 11","Has 1 or more of the 4 housing unit problems (lacks complete kitchen or plumbing facilities, has more than 1 person per room, or has cost burden greater than 30%)","KIT=2 OR PLM=2 OR PPR>1 OR OCPI>30","KIT=2 OR PLM=2 OR PPR>1 OR GRPI>30",
"Housing Problems (3)","Table 1, Table 4, Table 5, Table 6, Table 11","Has none of the 4 housing unit problems. ","KIT=1 AND PLM=1 AND PPR<=1 AND 0<OCPI<=30","KIT=1 AND PLM=1 AND PPR<=1 AND 0<GRPI<=30",
"Housing Problems (3)","Table 1, Table 4, Table 5, Table 6, Table 11","Cost burden is not computed, but household has none of the other housing problems (lacks kitchen or plumbing, or has more than 1 person per room). This includes households with zero or negative income. It also includes renter households with zero cash rent.","KIT=1 AND PLM=1 AND PPR<=1 AND OCPI=.","KIT=1 AND PLM=1 AND PPR<=1 AND GRPI=.",
,,,,,
"Household Income1 (5)","Table 1, Table 2, Table 5, Table 8, Table 10, Table 15A, Table 15B, Table 15C","Total",,,
"Household Income1 (5)","Table 1, Table 2, Table 5, Table 8, Table 10, Table 15A, Table 15B, Table 15C","household income is less than or equal to 30% of HAMFI","HUD30=1",,"AHINC<=(3/5)*(HAMFI450)"
"Household Income1 (5)","Table 1, Table 2, Table 5, Table 8, Table 10, Table 15A, Table 15B, Table 15C","household income is greater than 30% but less than or equal to 50% of HAMFI","HUD30=0 AND HUD50=1",,"(3/5)*(HAMFI450)<AHINC<=(HAMFI450)"
"Household Income1 (5)","Table 1, Table 2, Table 5, Table 8, Table 10, Table 15A, Table 15B, Table 15C","household income is greater than 50% but less than or equal to 80% of HAMFI","HUD50=0 AND HUD80=1",,"(HAMFI450)<AHINC<=(HAMFI480)"
"Household Income1 (5)","Table 1, Table 2, Table 5, Table 8, Table 10, Table 15A, Table 15B, Table 15C","household income is greater than 80% but less than or equal to 95% of HAMFI","HUD80=0 AND HUD95=1",,"(HAMFI480)<AHINC<=(95/80)*(HAMFI480)"
"Household Income1 (5)","Table 1, Table 2, Table 5, Table 8, Table 10, Table 15A, Table 15B, Table 15C","household income is greater than 95% of HAMFI","HUD95=0",,"(95/80)*(HAMFI480)<AHINC"
,,,,,
"Race (7)","Table 1, Table 2, Table 9","Total",,,
,,"race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
,,"race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
,,"race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
,,"race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
,,"race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
,,"race/ethnicity is Hispanic, any race","HSGP=2:8",,
,,"race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
,,,,,
"Race (3)","Table1C, Table 2C","Total",,,
"Race (3)","Table1C, Table 2C","race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"Race (3)","Table1C, Table 2C","race/ethnicity is non-White, non-Hispanic (includes multiple races, non-Hispanic)","TOTRACE>1 AND HSGP=1",,
"Race (3)","Table1C, Table 2C","race/ethnicity is Hispanic, any race","HSGP=2:8",,
,,,,,
"Severe Housing Problems (3)","Table 2","Total",,,
"Severe Housing Problems (3)","Table 2","Has 1 or more of the 4 severe housing problems (lacks complete kitchen or plumbing facilities, has more than 1.5 persons per room, or has cost burden greater than 50%)","KIT=2 OR PLM=2 OR PPR>1.5 OR OCPI>50","KIT=2 OR PLM=2 OR PPR>1.5 OR GRPI>50",
"Severe Housing Problems (3)","Table 2","Has none of the 4 severe housing problems. ","KIT=1 AND PLM=1 AND PPR<=1.5 AND OCPI<=50","KIT=1 AND PLM=1 AND PPR<=1.5 AND GRPI<=50",
"Severe Housing Problems (3)","Table 2","Cost burden is not computed, but household has none of the other housing problems (lacks kitchen or plumbing, or has more than 1.5 persons per room). This includes households with zero or negative income. It also includes renter households with zero cash rent.","KIT=1 AND PLM=1 AND PPR<=1.5 AND OCPI=.","KIT=1 AND PLM=1 AND PPR<=1.5 AND GRPI=.",
,,,,,
"Household Income2 (6)","Table 3","Total",,,
"Household Income2 (6)","Table 3","Household income less than or equal to 30.0% of HAMFI","HUD30=1",,"AHINC<=(3/5)*(HAMFI450)"
"Household Income2 (6)","Table 3","Household income 30.1% to 50.0% of HAMFI","HUD30=0 AND HUD50=1",,"(3/5)*(HAMFI450)<AHINC<=(HAMFI450)"
"Household Income2 (6)","Table 3","Household income 50.1% to 60.0% of HAMFI","HUD50=0 AND HUD60=1",,"(HAMFI450)<AHINC<=(6/5)*(HAMFI450)"
"Household Income2 (6)","Table 3","Household income 60.1% to 80.0% of HAMFI","HUD60=0 AND HUD80=1",,"(6/5)*(HAMFI450)<AHINC<=(8/5)*(HAMFI450)"
"Household Income2 (6)","Table 3","Household income 80.1% to 95.0% of HAMFI","HUD80=0 AND HUD95=1",,"(8/5)*(HAMFI450)<AHINC<=(95/80)*(HAMFI450)"
"Household Income2 (6)","Table 3","Household income above 95.0% of HAMFI","HUD95=0",,"(95/50)*(HAMFI450)<AHINC"
,,,,,
"Housing Unit Problem Severity (7)","Table 3","Total",,,
"Housing Unit Problem Severity (7)","Table 3","Lacking complete plumbing or kitchen facilities","KIT=2 OR PLM=2",,
