"TBLID","ORDER","Column heading for transposed file","LINE_TYPE","indent","Description","Census variable codes",,
"S10701",1,"T1est.1","T",0,"Total: Occupied housing units",,,
"S10701",2,"T1est.2","S",1,"Owner occupied","TEN=1:2",,
"S10701",3,"T1est.3","S",2,"Owner occupied; AND has 1 or more of the 4 housing unit problems","KIT=2 OR PLM=2 OR PPR>1 OR OCPI>30",,
"S10701",4,"T1est.4","S",3,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI","HUD30=1",,
"S10701",5,"T1est.5","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",6,"T1est.6","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",7,"T1est.7","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",8,"T1est.8","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",9,"T1est.9","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",10,"T1est.10","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",11,"T1est.11","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is less than or equal to 30% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",12,"T1est.12","S",3,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI","HUD30=0 AND HUD50=1",,
"S10701",13,"T1est.13","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",14,"T1est.14","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",15,"T1est.15","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",16,"T1est.16","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",17,"T1est.17","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",18,"T1est.18","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",19,"T1est.19","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 30% but less than or equal to 50% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",20,"T1est.20","S",3,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI","HUD50=0 AND HUD80=1",,
"S10701",21,"T1est.21","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",22,"T1est.22","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
"S10701",23,"T1est.23","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Asian alone, non-Hispanic","TOTRACE=4 AND HSGP=1",,
"S10701",24,"T1est.24","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is American Indian or Alaska Native alone, non-Hispanic","TOTRACE=3 AND HSGP=1",,
"S10701",25,"T1est.25","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Pacific Islander alone, non-Hispanic","TOTRACE=5 AND HSGP=1",,
"S10701",26,"T1est.26","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is Hispanic, any race","HSGP=2:8",,
"S10701",27,"T1est.27","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 50% but less than or equal to 80% of HAMFI; AND race/ethnicity is other (including multiple races, non-Hispanic)","TOTRACE>5 AND HSGP=1",,
"S10701",28,"T1est.28","S",3,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI","HUD80=0 AND HUD95=1",,
"S10701",29,"T1est.29","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is White alone, non-Hispanic","TOTRACE=1 AND HSGP=1",,
"S10701",30,"T1est.30","D",4,"Owner occupied; AND has 1 or more of the 4 housing unit problems; AND household income is greater than 80% but less than or equal to 95% of HAMFI; AND race/ethnicity is Black or African-American alone, non-Hispanic","TOTRACE=2 AND HSGP=1",,
