name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problem_Severity,Household_Income
"Dinwiddie County, Virginia",9455.0,353.0,1.0,05000US51053,51,053,T,All,All,All
"Dinwiddie County, Virginia",7490.0,360.0,2.0,05000US51053,51,053,S,Owner,All,All
"Dinwiddie County, Virginia",55.0,57.0,3.0,05000US51053,51,053,S,Owner,Substandard,All
"Dinwiddie County, Virginia",0.0,161.0,4.0,05000US51053,51,053,D,Owner,Substandard,<=30% AMI
"Dinwiddie County, Virginia",0.0,161.0,5.0,05000US51053,51,053,D,Owner,Substandard,30.1-50% AMI
"Dinwiddie County, Virginia",25.0,47.0,6.0,05000US51053,51,053,D,Owner,Substandard,50.1-60% AMI
"Dinwiddie County, Virginia",15.0,25.0,7.0,05000US51053,51,053,D,Owner,Substandard,60.1-80% AMI
"Dinwiddie County, Virginia",0.0,161.0,8.0,05000US51053,51,053,D,Owner,Substandard,80.1-95% AMI
"Dinwiddie County, Virginia",15.0,25.0,9.0,05000US51053,51,053,D,Owner,Substandard,>95% AMI
"Dinwiddie County, Virginia",15.0,23.0,10.0,05000US51053,51,053,S,Owner,Severely overcrowded,All
"Dinwiddie County, Virginia",0.0,161.0,11.0,05000US51053,51,053,D,Owner,Severely overcrowded,<=30% AMI
"Dinwiddie County, Virginia",0.0,161.0,12.0,05000US51053,51,053,D,Owner,Severely overcrowded,30.1-50% AMI
"Dinwiddie County, Virginia",0.0,161.0,13.0,05000US51053,51,053,D,Owner,Severely overcrowded,50.1-60% AMI
"Dinwiddie County, Virginia",0.0,161.0,14.0,05000US51053,51,053,D,Owner,Severely overcrowded,60.1-80% AMI
"Dinwiddie County, Virginia",15.0,23.0,15.0,05000US51053,51,053,D,Owner,Severely overcrowded,80.1-95% AMI
"Dinwiddie County, Virginia",0.0,161.0,16.0,05000US51053,51,053,D,Owner,Severely overcrowded,>95% AMI
"Dinwiddie County, Virginia",135.0,113.0,17.0,05000US51053,51,053,S,Owner,Overcrowded,All
"Dinwiddie County, Virginia",45.0,73.0,18.0,05000US51053,51,053,D,Owner,Overcrowded,<=30% AMI
"Dinwiddie County, Virginia",10.0,14.0,19.0,05000US51053,51,053,D,Owner,Overcrowded,30.1-50% AMI
"Dinwiddie County, Virginia",30.0,51.0,20.0,05000US51053,51,053,D,Owner,Overcrowded,50.1-60% AMI
"Dinwiddie County, Virginia",0.0,161.0,21.0,05000US51053,51,053,D,Owner,Overcrowded,60.1-80% AMI
"Dinwiddie County, Virginia",0.0,161.0,22.0,05000US51053,51,053,D,Owner,Overcrowded,80.1-95% AMI
"Dinwiddie County, Virginia",50.0,60.0,23.0,05000US51053,51,053,D,Owner,Overcrowded,>95% AMI
"Dinwiddie County, Virginia",595.0,185.0,24.0,05000US51053,51,053,S,Owner,Severely cost burdened,All
"Dinwiddie County, Virginia",360.0,139.0,25.0,05000US51053,51,053,D,Owner,Severely cost burdened,<=30% AMI
"Dinwiddie County, Virginia",130.0,101.0,26.0,05000US51053,51,053,D,Owner,Severely cost burdened,30.1-50% AMI
"Dinwiddie County, Virginia",0.0,161.0,27.0,05000US51053,51,053,D,Owner,Severely cost burdened,50.1-60% AMI
"Dinwiddie County, Virginia",90.0,82.0,28.0,05000US51053,51,053,D,Owner,Severely cost burdened,60.1-80% AMI
