name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Type,Cost_Burden
"Botetourt County, Virginia",12770.0,284.0,1.0,05000US51023,51,023,T,All,All,All
"Botetourt County, Virginia",11400.0,361.0,2.0,05000US51023,51,023,S,Owner,All,All
"Botetourt County, Virginia",2065.0,230.0,3.0,05000US51023,51,023,S,Owner,"Small family, elderly",All
"Botetourt County, Virginia",1775.0,246.0,4.0,05000US51023,51,023,D,Owner,"Small family, elderly",No cost burden
"Botetourt County, Virginia",140.0,83.0,5.0,05000US51023,51,023,D,Owner,"Small family, elderly",Moderate cost burden
"Botetourt County, Virginia",150.0,107.0,6.0,05000US51023,51,023,D,Owner,"Small family, elderly",Severe cost burden
"Botetourt County, Virginia",0.0,161.0,7.0,05000US51023,51,023,D,Owner,"Small family, elderly",N/A
"Botetourt County, Virginia",5965.0,417.0,8.0,05000US51023,51,023,S,Owner,"Small family, non-elderly",All
"Botetourt County, Virginia",5065.0,394.0,9.0,05000US51023,51,023,D,Owner,"Small family, non-elderly",No cost burden
"Botetourt County, Virginia",730.0,258.0,10.0,05000US51023,51,023,D,Owner,"Small family, non-elderly",Moderate cost burden
"Botetourt County, Virginia",165.0,115.0,11.0,05000US51023,51,023,D,Owner,"Small family, non-elderly",Severe cost burden
"Botetourt County, Virginia",4.0,9.0,12.0,05000US51023,51,023,D,Owner,"Small family, non-elderly",N/A
"Botetourt County, Virginia",800.0,215.0,13.0,05000US51023,51,023,S,Owner,Large family,All
"Botetourt County, Virginia",620.0,193.0,14.0,05000US51023,51,023,D,Owner,Large family,No cost burden
"Botetourt County, Virginia",135.0,101.0,15.0,05000US51023,51,023,D,Owner,Large family,Moderate cost burden
"Botetourt County, Virginia",40.0,50.0,16.0,05000US51023,51,023,D,Owner,Large family,Severe cost burden
"Botetourt County, Virginia",0.0,161.0,17.0,05000US51023,51,023,D,Owner,Large family,N/A
"Botetourt County, Virginia",1235.0,246.0,18.0,05000US51023,51,023,S,Owner,"Non-family, elderly",All
"Botetourt County, Virginia",890.0,209.0,19.0,05000US51023,51,023,D,Owner,"Non-family, elderly",No cost burden
"Botetourt County, Virginia",180.0,109.0,20.0,05000US51023,51,023,D,Owner,"Non-family, elderly",Moderate cost burden
"Botetourt County, Virginia",170.0,91.0,21.0,05000US51023,51,023,D,Owner,"Non-family, elderly",Severe cost burden
"Botetourt County, Virginia",0.0,161.0,22.0,05000US51023,51,023,D,Owner,"Non-family, elderly",N/A
"Botetourt County, Virginia",1335.0,316.0,23.0,05000US51023,51,023,S,Owner,"Non-family, non-elderly",All
"Botetourt County, Virginia",895.0,260.0,24.0,05000US51023,51,023,D,Owner,"Non-family, non-elderly",No cost burden
"Botetourt County, Virginia",270.0,118.0,25.0,05000US51023,51,023,D,Owner,"Non-family, non-elderly",Moderate cost burden
"Botetourt County, Virginia",95.0,87.0,26.0,05000US51023,51,023,D,Owner,"Non-family, non-elderly",Severe cost burden
"Botetourt County, Virginia",70.0,80.0,27.0,05000US51023,51,023,D,Owner,"Non-family, non-elderly",N/A
"Botetourt County, Virginia",1375.0,319.0,28.0,05000US51023,51,023,S,Renter,All,All
"Botetourt County, Virginia",25.0,32.0,29.0,05000US51023,51,023,S,Renter,"Small family, elderly",All
"Botetourt County, Virginia",0.0,161.0,30.0,05000US51023,51,023,D,Renter,"Small family, elderly",No cost burden
"Botetourt County, Virginia",0.0,161.0,31.0,05000US51023,51,023,D,Renter,"Small family, elderly",Moderate cost burden
"Botetourt County, Virginia",10.0,19.0,32.0,05000US51023,51,023,D,Renter,"Small family, elderly",Severe cost burden
"Botetourt County, Virginia",15.0,24.0,33.0,05000US51023,51,023,D,Renter,"Small family, elderly",N/A
"Botetourt County, Virginia",800.0,266.0,34.0,05000US51023,51,023,S,Renter,"Small family, non-elderly",All
"Botetourt County, Virginia",480.0,212.0,35.0,05000US51023,51,023,D,Renter,"Small family, non-elderly",No cost burden
"Botetourt County, Virginia",105.0,92.0,36.0,05000US51023,51,023,D,Renter,"Small family, non-elderly",Moderate cost burden
"Botetourt County, Virginia",140.0,135.0,37.0,05000US51023,51,023,D,Renter,"Small family, non-elderly",Severe cost burden
"Botetourt County, Virginia",70.0,77.0,38.0,05000US51023,51,023,D,Renter,"Small family, non-elderly",N/A
"Botetourt County, Virginia",20.0,34.0,39.0,05000US51023,51,023,S,Renter,Large family,All
"Botetourt County, Virginia",20.0,34.0,40.0,05000US51023,51,023,D,Renter,Large family,No cost burden
"Botetourt County, Virginia",0.0,161.0,41.0,05000US51023,51,023,D,Renter,Large family,Moderate cost burden
"Botetourt County, Virginia",0.0,161.0,42.0,05000US51023,51,023,D,Renter,Large family,Severe cost burden
"Botetourt County, Virginia",0.0,161.0,43.0,05000US51023,51,023,D,Renter,Large family,N/A
"Botetourt County, Virginia",150.0,116.0,44.0,05000US51023,51,023,S,Renter,"Non-family, elderly",All
