name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Type,Cost_Burden
"Roanoke County, Virginia",36830.0,553.0,1.0,05000US51161,51,161,T,All,All,All
"Roanoke County, Virginia",29200.0,731.0,2.0,05000US51161,51,161,S,Owner,All,All
"Roanoke County, Virginia",4875.0,363.0,3.0,05000US51161,51,161,S,Owner,"Small family, elderly",All
"Roanoke County, Virginia",4350.0,358.0,4.0,05000US51161,51,161,D,Owner,"Small family, elderly",No cost burden
"Roanoke County, Virginia",370.0,168.0,5.0,05000US51161,51,161,D,Owner,"Small family, elderly",Moderate cost burden
"Roanoke County, Virginia",155.0,82.0,6.0,05000US51161,51,161,D,Owner,"Small family, elderly",Severe cost burden
"Roanoke County, Virginia",0.0,161.0,7.0,05000US51161,51,161,D,Owner,"Small family, elderly",N/A
"Roanoke County, Virginia",14105.0,746.0,8.0,05000US51161,51,161,S,Owner,"Small family, non-elderly",All
"Roanoke County, Virginia",12020.0,718.0,9.0,05000US51161,51,161,D,Owner,"Small family, non-elderly",No cost burden
"Roanoke County, Virginia",1370.0,299.0,10.0,05000US51161,51,161,D,Owner,"Small family, non-elderly",Moderate cost burden
"Roanoke County, Virginia",710.0,253.0,11.0,05000US51161,51,161,D,Owner,"Small family, non-elderly",Severe cost burden
"Roanoke County, Virginia",0.0,161.0,12.0,05000US51161,51,161,D,Owner,"Small family, non-elderly",N/A
"Roanoke County, Virginia",2020.0,351.0,13.0,05000US51161,51,161,S,Owner,Large family,All
"Roanoke County, Virginia",1655.0,316.0,14.0,05000US51161,51,161,D,Owner,Large family,No cost burden
"Roanoke County, Virginia",225.0,134.0,15.0,05000US51161,51,161,D,Owner,Large family,Moderate cost burden
"Roanoke County, Virginia",140.0,94.0,16.0,05000US51161,51,161,D,Owner,Large family,Severe cost burden
"Roanoke County, Virginia",0.0,161.0,17.0,05000US51161,51,161,D,Owner,Large family,N/A
"Roanoke County, Virginia",3545.0,452.0,18.0,05000US51161,51,161,S,Owner,"Non-family, elderly",All
"Roanoke County, Virginia",2700.0,379.0,19.0,05000US51161,51,161,D,Owner,"Non-family, elderly",No cost burden
"Roanoke County, Virginia",505.0,176.0,20.0,05000US51161,51,161,D,Owner,"Non-family, elderly",Moderate cost burden
"Roanoke County, Virginia",265.0,121.0,21.0,05000US51161,51,161,D,Owner,"Non-family, elderly",Severe cost burden
"Roanoke County, Virginia",70.0,66.0,22.0,05000US51161,51,161,D,Owner,"Non-family, elderly",N/A
"Roanoke County, Virginia",4660.0,633.0,23.0,05000US51161,51,161,S,Owner,"Non-family, non-elderly",All
"Roanoke County, Virginia",3330.0,478.0,24.0,05000US51161,51,161,D,Owner,"Non-family, non-elderly",No cost burden
"Roanoke County, Virginia",865.0,309.0,25.0,05000US51161,51,161,D,Owner,"Non-family, non-elderly",Moderate cost burden
"Roanoke County, Virginia",465.0,233.0,26.0,05000US51161,51,161,D,Owner,"Non-family, non-elderly",Severe cost burden
"Roanoke County, Virginia",0.0,161.0,27.0,05000US51161,51,161,D,Owner,"Non-family, non-elderly",N/A
"Roanoke County, Virginia",7630.0,748.0,28.0,05000US51161,51,161,S,Renter,All,All
"Roanoke County, Virginia",460.0,176.0,29.0,05000US51161,51,161,S,Renter,"Small family, elderly",All
"Roanoke County, Virginia",295.0,141.0,30.0,05000US51161,51,161,D,Renter,"Small family, elderly",No cost burden
"Roanoke County, Virginia",40.0,52.0,31.0,05000US51161,51,161,D,Renter,"Small family, elderly",Moderate cost burden
"Roanoke County, Virginia",40.0,45.0,32.0,05000US51161,51,161,D,Renter,"Small family, elderly",Severe cost burden
"Roanoke County, Virginia",85.0,68.0,33.0,05000US51161,51,161,D,Renter,"Small family, elderly",N/A
"Roanoke County, Virginia",2465.0,532.0,34.0,05000US51161,51,161,S,Renter,"Small family, non-elderly",All
"Roanoke County, Virginia",1595.0,436.0,35.0,05000US51161,51,161,D,Renter,"Small family, non-elderly",No cost burden
