name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Type,Cost_Burden
"Mecklenburg County, Virginia",12755.0,602.0,1.0,05000US51117,51,117,T,All,All,All
"Mecklenburg County, Virginia",9295.0,534.0,2.0,05000US51117,51,117,S,Owner,All,All
"Mecklenburg County, Virginia",2355.0,244.0,3.0,05000US51117,51,117,S,Owner,"Small family, elderly",All
"Mecklenburg County, Virginia",1890.0,212.0,4.0,05000US51117,51,117,D,Owner,"Small family, elderly",No cost burden
"Mecklenburg County, Virginia",265.0,118.0,5.0,05000US51117,51,117,D,Owner,"Small family, elderly",Moderate cost burden
"Mecklenburg County, Virginia",185.0,102.0,6.0,05000US51117,51,117,D,Owner,"Small family, elderly",Severe cost burden
"Mecklenburg County, Virginia",15.0,23.0,7.0,05000US51117,51,117,D,Owner,"Small family, elderly",N/A
"Mecklenburg County, Virginia",3745.0,475.0,8.0,05000US51117,51,117,S,Owner,"Small family, non-elderly",All
"Mecklenburg County, Virginia",2755.0,398.0,9.0,05000US51117,51,117,D,Owner,"Small family, non-elderly",No cost burden
"Mecklenburg County, Virginia",695.0,226.0,10.0,05000US51117,51,117,D,Owner,"Small family, non-elderly",Moderate cost burden
"Mecklenburg County, Virginia",260.0,142.0,11.0,05000US51117,51,117,D,Owner,"Small family, non-elderly",Severe cost burden
"Mecklenburg County, Virginia",35.0,52.0,12.0,05000US51117,51,117,D,Owner,"Small family, non-elderly",N/A
"Mecklenburg County, Virginia",335.0,150.0,13.0,05000US51117,51,117,S,Owner,Large family,All
"Mecklenburg County, Virginia",230.0,126.0,14.0,05000US51117,51,117,D,Owner,Large family,No cost burden
"Mecklenburg County, Virginia",45.0,66.0,15.0,05000US51117,51,117,D,Owner,Large family,Moderate cost burden
"Mecklenburg County, Virginia",60.0,56.0,16.0,05000US51117,51,117,D,Owner,Large family,Severe cost burden
"Mecklenburg County, Virginia",0.0,161.0,17.0,05000US51117,51,117,D,Owner,Large family,N/A
"Mecklenburg County, Virginia",1555.0,271.0,18.0,05000US51117,51,117,S,Owner,"Non-family, elderly",All
"Mecklenburg County, Virginia",1010.0,241.0,19.0,05000US51117,51,117,D,Owner,"Non-family, elderly",No cost burden
"Mecklenburg County, Virginia",290.0,138.0,20.0,05000US51117,51,117,D,Owner,"Non-family, elderly",Moderate cost burden
"Mecklenburg County, Virginia",255.0,133.0,21.0,05000US51117,51,117,D,Owner,"Non-family, elderly",Severe cost burden
"Mecklenburg County, Virginia",0.0,161.0,22.0,05000US51117,51,117,D,Owner,"Non-family, elderly",N/A
"Mecklenburg County, Virginia",1305.0,338.0,23.0,05000US51117,51,117,S,Owner,"Non-family, non-elderly",All
"Mecklenburg County, Virginia",705.0,231.0,24.0,05000US51117,51,117,D,Owner,"Non-family, non-elderly",No cost burden
"Mecklenburg County, Virginia",330.0,169.0,25.0,05000US51117,51,117,D,Owner,"Non-family, non-elderly",Moderate cost burden
"Mecklenburg County, Virginia",240.0,139.0,26.0,05000US51117,51,117,D,Owner,"Non-family, non-elderly",Severe cost burden
"Mecklenburg County, Virginia",35.0,44.0,27.0,05000US51117,51,117,D,Owner,"Non-family, non-elderly",N/A
"Mecklenburg County, Virginia",3460.0,488.0,28.0,05000US51117,51,117,S,Renter,All,All
"Mecklenburg County, Virginia",115.0,81.0,29.0,05000US51117,51,117,S,Renter,"Small family, elderly",All
"Mecklenburg County, Virginia",25.0,45.0,30.0,05000US51117,51,117,D,Renter,"Small family, elderly",No cost burden
"Mecklenburg County, Virginia",40.0,45.0,31.0,05000US51117,51,117,D,Renter,"Small family, elderly",Moderate cost burden
"Mecklenburg County, Virginia",20.0,33.0,32.0,05000US51117,51,117,D,Renter,"Small family, elderly",Severe cost burden
"Mecklenburg County, Virginia",30.0,37.0,33.0,05000US51117,51,117,D,Renter,"Small family, elderly",N/A
"Mecklenburg County, Virginia",1900.0,387.0,34.0,05000US51117,51,117,S,Renter,"Small family, non-elderly",All
"Mecklenburg County, Virginia",1055.0,310.0,35.0,05000US51117,51,117,D,Renter,"Small family, non-elderly",No cost burden
"Mecklenburg County, Virginia",150.0,117.0,36.0,05000US51117,51,117,D,Renter,"Small family, non-elderly",Moderate cost burden
"Mecklenburg County, Virginia",450.0,239.0,37.0,05000US51117,51,117,D,Renter,"Small family, non-elderly",Severe cost burden
"Mecklenburg County, Virginia",245.0,133.0,38.0,05000US51117,51,117,D,Renter,"Small family, non-elderly",N/A
"Mecklenburg County, Virginia",315.0,193.0,39.0,05000US51117,51,117,S,Renter,Large family,All
"Mecklenburg County, Virginia",265.0,171.0,40.0,05000US51117,51,117,D,Renter,Large family,No cost burden
"Mecklenburg County, Virginia",0.0,161.0,41.0,05000US51117,51,117,D,Renter,Large family,Moderate cost burden
"Mecklenburg County, Virginia",0.0,161.0,42.0,05000US51117,51,117,D,Renter,Large family,Severe cost burden
"Mecklenburg County, Virginia",50.0,82.0,43.0,05000US51117,51,117,D,Renter,Large family,N/A
"Mecklenburg County, Virginia",405.0,139.0,44.0,05000US51117,51,117,S,Renter,"Non-family, elderly",All
"Mecklenburg County, Virginia",45.0,49.0,45.0,05000US51117,51,117,D,Renter,"Non-family, elderly",No cost burden
"Mecklenburg County, Virginia",70.0,52.0,46.0,05000US51117,51,117,D,Renter,"Non-family, elderly",Moderate cost burden
"Mecklenburg County, Virginia",130.0,86.0,47.0,05000US51117,51,117,D,Renter,"Non-family, elderly",Severe cost burden
"Mecklenburg County, Virginia",160.0,112.0,48.0,05000US51117,51,117,D,Renter,"Non-family, elderly",N/A
"Mecklenburg County, Virginia",725.0,234.0,49.0,05000US51117,51,117,S,Renter,"Non-family, non-elderly",All
"Mecklenburg County, Virginia",345.0,136.0,50.0,05000US51117,51,117,D,Renter,"Non-family, non-elderly",No cost burden
"Mecklenburg County, Virginia",90.0,99.0,51.0,05000US51117,51,117,D,Renter,"Non-family, non-elderly",Moderate cost burden
"Mecklenburg County, Virginia",130.0,102.0,52.0,05000US51117,51,117,D,Renter,"Non-family, non-elderly",Severe cost burden
"Mecklenburg County, Virginia",165.0,125.0,53.0,05000US51117,51,117,D,Renter,"Non-family, non-elderly",N/A
