name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Disability_Status
"Wythe County, Virginia",11985.0,343.0,1.0,05000US51197,51,197,T,All,All,All,All
"Wythe County, Virginia",8840.0,448.0,2.0,05000US51197,51,197,S,Owner,All,All,All
"Wythe County, Virginia",1705.0,399.0,3.0,05000US51197,51,197,S,Owner,Yes,All,All
"Wythe County, Virginia",345.0,157.0,4.0,05000US51197,51,197,S,Owner,Yes,30% AMI or less,All
"Wythe County, Virginia",60.0,69.0,5.0,05000US51197,51,197,D,Owner,Yes,30% AMI or less,Disabled
"Wythe County, Virginia",285.0,151.0,6.0,05000US51197,51,197,D,Owner,Yes,30% AMI or less,Not disabled
"Wythe County, Virginia",365.0,154.0,7.0,05000US51197,51,197,S,Owner,Yes,30.1-50% AMI,All
"Wythe County, Virginia",130.0,84.0,8.0,05000US51197,51,197,D,Owner,Yes,30.1-50% AMI,Disabled
"Wythe County, Virginia",235.0,139.0,9.0,05000US51197,51,197,D,Owner,Yes,30.1-50% AMI,Not disabled
"Wythe County, Virginia",500.0,226.0,10.0,05000US51197,51,197,S,Owner,Yes,50.1-80% AMI,All
"Wythe County, Virginia",145.0,101.0,11.0,05000US51197,51,197,D,Owner,Yes,50.1-80% AMI,Disabled
"Wythe County, Virginia",355.0,204.0,12.0,05000US51197,51,197,D,Owner,Yes,50.1-80% AMI,Not disabled
"Wythe County, Virginia",495.0,210.0,13.0,05000US51197,51,197,S,Owner,Yes,80.1% AMI and above,All
"Wythe County, Virginia",20.0,33.0,14.0,05000US51197,51,197,D,Owner,Yes,80.1% AMI and above,Disabled
"Wythe County, Virginia",480.0,203.0,15.0,05000US51197,51,197,D,Owner,Yes,80.1% AMI and above,Not disabled
"Wythe County, Virginia",7030.0,534.0,16.0,05000US51197,51,197,S,Owner,No,All,All
"Wythe County, Virginia",435.0,208.0,17.0,05000US51197,51,197,S,Owner,No,30% AMI or less,All
"Wythe County, Virginia",60.0,58.0,18.0,05000US51197,51,197,D,Owner,No,30% AMI or less,Disabled
"Wythe County, Virginia",375.0,197.0,19.0,05000US51197,51,197,D,Owner,No,30% AMI or less,Not disabled
"Wythe County, Virginia",555.0,225.0,20.0,05000US51197,51,197,S,Owner,No,30.1-50% AMI,All
"Wythe County, Virginia",155.0,105.0,21.0,05000US51197,51,197,D,Owner,No,30.1-50% AMI,Disabled
"Wythe County, Virginia",400.0,196.0,22.0,05000US51197,51,197,D,Owner,No,30.1-50% AMI,Not disabled
"Wythe County, Virginia",1480.0,326.0,23.0,05000US51197,51,197,S,Owner,No,50.1-80% AMI,All
"Wythe County, Virginia",335.0,132.0,24.0,05000US51197,51,197,D,Owner,No,50.1-80% AMI,Disabled
"Wythe County, Virginia",1145.0,319.0,25.0,05000US51197,51,197,D,Owner,No,50.1-80% AMI,Not disabled
"Wythe County, Virginia",4555.0,489.0,26.0,05000US51197,51,197,S,Owner,No,80.1% AMI and above,All
"Wythe County, Virginia",195.0,91.0,27.0,05000US51197,51,197,D,Owner,No,80.1% AMI and above,Disabled
"Wythe County, Virginia",4360.0,492.0,28.0,05000US51197,51,197,D,Owner,No,80.1% AMI and above,Not disabled
"Wythe County, Virginia",105.0,111.0,29.0,05000US51197,51,197,S,Owner,N/A,All,All
"Wythe County, Virginia",105.0,111.0,30.0,05000US51197,51,197,S,Owner,N/A,30% AMI or less,All
"Wythe County, Virginia",0.0,161.0,31.0,05000US51197,51,197,D,Owner,N/A,30% AMI or less,Disabled
"Wythe County, Virginia",105.0,111.0,32.0,05000US51197,51,197,D,Owner,N/A,30% AMI or less,Not disabled
"Wythe County, Virginia",0.0,161.0,33.0,05000US51197,51,197,S,Owner,N/A,30.1-50% AMI,All
"Wythe County, Virginia",0.0,161.0,34.0,05000US51197,51,197,D,Owner,N/A,30.1-50% AMI,Disabled
"Wythe County, Virginia",0.0,161.0,35.0,05000US51197,51,197,D,Owner,N/A,30.1-50% AMI,Not disabled
"Wythe County, Virginia",0.0,161.0,36.0,05000US51197,51,197,S,Owner,N/A,50.1-80% AMI,All
"Wythe County, Virginia",0.0,161.0,37.0,05000US51197,51,197,D,Owner,N/A,50.1-80% AMI,Disabled
"Wythe County, Virginia",0.0,161.0,38.0,05000US51197,51,197,D,Owner,N/A,50.1-80% AMI,Not disabled
"Wythe County, Virginia",0.0,161.0,39.0,05000US51197,51,197,S,Owner,N/A,80.1% AMI and above,All
"Wythe County, Virginia",0.0,161.0,40.0,05000US51197,51,197,D,Owner,N/A,80.1% AMI and above,Disabled
"Wythe County, Virginia",0.0,161.0,41.0,05000US51197,51,197,D,Owner,N/A,80.1% AMI and above,Not disabled
"Wythe County, Virginia",3150.0,468.0,42.0,05000US51197,51,197,S,Renter,All,All,All
"Wythe County, Virginia",995.0,307.0,43.0,05000US51197,51,197,S,Renter,Yes,All,All
"Wythe County, Virginia",685.0,284.0,44.0,05000US51197,51,197,S,Renter,Yes,30% AMI or less,All
"Wythe County, Virginia",275.0,214.0,45.0,05000US51197,51,197,D,Renter,Yes,30% AMI or less,Disabled
