name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Disability_Status
"Shenandoah County, Virginia",16750.0,464.0,1.0,05000US51171,51,171,T,All,All,All,All
"Shenandoah County, Virginia",11760.0,517.0,2.0,05000US51171,51,171,S,Owner,All,All,All
"Shenandoah County, Virginia",3145.0,441.0,3.0,05000US51171,51,171,S,Owner,Yes,All,All
"Shenandoah County, Virginia",665.0,252.0,4.0,05000US51171,51,171,S,Owner,Yes,30% AMI or less,All
"Shenandoah County, Virginia",220.0,133.0,5.0,05000US51171,51,171,D,Owner,Yes,30% AMI or less,Disabled
"Shenandoah County, Virginia",445.0,220.0,6.0,05000US51171,51,171,D,Owner,Yes,30% AMI or less,Not disabled
"Shenandoah County, Virginia",395.0,187.0,7.0,05000US51171,51,171,S,Owner,Yes,30.1-50% AMI,All
"Shenandoah County, Virginia",60.0,60.0,8.0,05000US51171,51,171,D,Owner,Yes,30.1-50% AMI,Disabled
"Shenandoah County, Virginia",335.0,179.0,9.0,05000US51171,51,171,D,Owner,Yes,30.1-50% AMI,Not disabled
"Shenandoah County, Virginia",515.0,208.0,10.0,05000US51171,51,171,S,Owner,Yes,50.1-80% AMI,All
"Shenandoah County, Virginia",50.0,41.0,11.0,05000US51171,51,171,D,Owner,Yes,50.1-80% AMI,Disabled
"Shenandoah County, Virginia",465.0,201.0,12.0,05000US51171,51,171,D,Owner,Yes,50.1-80% AMI,Not disabled
"Shenandoah County, Virginia",1570.0,374.0,13.0,05000US51171,51,171,S,Owner,Yes,80.1% AMI and above,All
"Shenandoah County, Virginia",115.0,144.0,14.0,05000US51171,51,171,D,Owner,Yes,80.1% AMI and above,Disabled
"Shenandoah County, Virginia",1455.0,349.0,15.0,05000US51171,51,171,D,Owner,Yes,80.1% AMI and above,Not disabled
"Shenandoah County, Virginia",8595.0,570.0,16.0,05000US51171,51,171,S,Owner,No,All,All
"Shenandoah County, Virginia",295.0,150.0,17.0,05000US51171,51,171,S,Owner,No,30% AMI or less,All
"Shenandoah County, Virginia",45.0,57.0,18.0,05000US51171,51,171,D,Owner,No,30% AMI or less,Disabled
"Shenandoah County, Virginia",245.0,150.0,19.0,05000US51171,51,171,D,Owner,No,30% AMI or less,Not disabled
"Shenandoah County, Virginia",660.0,188.0,20.0,05000US51171,51,171,S,Owner,No,30.1-50% AMI,All
"Shenandoah County, Virginia",195.0,119.0,21.0,05000US51171,51,171,D,Owner,No,30.1-50% AMI,Disabled
"Shenandoah County, Virginia",470.0,164.0,22.0,05000US51171,51,171,D,Owner,No,30.1-50% AMI,Not disabled
"Shenandoah County, Virginia",1075.0,262.0,23.0,05000US51171,51,171,S,Owner,No,50.1-80% AMI,All
"Shenandoah County, Virginia",140.0,87.0,24.0,05000US51171,51,171,D,Owner,No,50.1-80% AMI,Disabled
"Shenandoah County, Virginia",935.0,237.0,25.0,05000US51171,51,171,D,Owner,No,50.1-80% AMI,Not disabled
"Shenandoah County, Virginia",6565.0,555.0,26.0,05000US51171,51,171,S,Owner,No,80.1% AMI and above,All
"Shenandoah County, Virginia",625.0,194.0,27.0,05000US51171,51,171,D,Owner,No,80.1% AMI and above,Disabled
"Shenandoah County, Virginia",5940.0,533.0,28.0,05000US51171,51,171,D,Owner,No,80.1% AMI and above,Not disabled
"Shenandoah County, Virginia",25.0,42.0,29.0,05000US51171,51,171,S,Owner,N/A,All,All
"Shenandoah County, Virginia",25.0,42.0,30.0,05000US51171,51,171,S,Owner,N/A,30% AMI or less,All
