name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Disability_Status
"Russell County, Virginia",12225.0,337.0,1.0,05000US51167,51,167,T,All,All,All,All
"Russell County, Virginia",9160.0,470.0,2.0,05000US51167,51,167,S,Owner,All,All,All
"Russell County, Virginia",1525.0,367.0,3.0,05000US51167,51,167,S,Owner,Yes,All,All
"Russell County, Virginia",530.0,252.0,4.0,05000US51167,51,167,S,Owner,Yes,30% AMI or less,All
"Russell County, Virginia",140.0,135.0,5.0,05000US51167,51,167,D,Owner,Yes,30% AMI or less,Disabled
"Russell County, Virginia",385.0,212.0,6.0,05000US51167,51,167,D,Owner,Yes,30% AMI or less,Not disabled
"Russell County, Virginia",325.0,171.0,7.0,05000US51167,51,167,S,Owner,Yes,30.1-50% AMI,All
"Russell County, Virginia",80.0,80.0,8.0,05000US51167,51,167,D,Owner,Yes,30.1-50% AMI,Disabled
"Russell County, Virginia",245.0,146.0,9.0,05000US51167,51,167,D,Owner,Yes,30.1-50% AMI,Not disabled
"Russell County, Virginia",420.0,242.0,10.0,05000US51167,51,167,S,Owner,Yes,50.1-80% AMI,All
"Russell County, Virginia",170.0,153.0,11.0,05000US51167,51,167,D,Owner,Yes,50.1-80% AMI,Disabled
"Russell County, Virginia",255.0,170.0,12.0,05000US51167,51,167,D,Owner,Yes,50.1-80% AMI,Not disabled
"Russell County, Virginia",245.0,133.0,13.0,05000US51167,51,167,S,Owner,Yes,80.1% AMI and above,All
"Russell County, Virginia",0.0,161.0,14.0,05000US51167,51,167,D,Owner,Yes,80.1% AMI and above,Disabled
"Russell County, Virginia",245.0,133.0,15.0,05000US51167,51,167,D,Owner,Yes,80.1% AMI and above,Not disabled
"Russell County, Virginia",7635.0,535.0,16.0,05000US51167,51,167,S,Owner,No,All,All
"Russell County, Virginia",295.0,140.0,17.0,05000US51167,51,167,S,Owner,No,30% AMI or less,All
"Russell County, Virginia",35.0,43.0,18.0,05000US51167,51,167,D,Owner,No,30% AMI or less,Disabled
"Russell County, Virginia",260.0,139.0,19.0,05000US51167,51,167,D,Owner,No,30% AMI or less,Not disabled
"Russell County, Virginia",895.0,245.0,20.0,05000US51167,51,167,S,Owner,No,30.1-50% AMI,All
