name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Overcrowding,Household_Income,Family_Structure
"Chesterfield County, Virginia",108690.0,1007.0,1.0,05000US51041,51,041,T,All,All,All,All
"Chesterfield County, Virginia",85810.0,1315.0,2.0,05000US51041,51,041,S,Owner,All,All,All
"Chesterfield County, Virginia",85365.0,1328.0,3.0,05000US51041,51,041,S,Owner,No overcrowding,All,All
"Chesterfield County, Virginia",3265.0,430.0,4.0,05000US51041,51,041,S,Owner,No overcrowding,30% AMI or less,All
"Chesterfield County, Virginia",1475.0,302.0,5.0,05000US51041,51,041,D,Owner,No overcrowding,30% AMI or less,1 family household
"Chesterfield County, Virginia",95.0,128.0,6.0,05000US51041,51,041,D,Owner,No overcrowding,30% AMI or less,2+ families in household
"Chesterfield County, Virginia",1695.0,351.0,7.0,05000US51041,51,041,D,Owner,No overcrowding,30% AMI or less,Non-family household
"Chesterfield County, Virginia",4415.0,518.0,8.0,05000US51041,51,041,S,Owner,No overcrowding,30.1-50% AMI,All
"Chesterfield County, Virginia",2350.0,343.0,9.0,05000US51041,51,041,D,Owner,No overcrowding,30.1-50% AMI,1 family household
"Chesterfield County, Virginia",10.0,20.0,10.0,05000US51041,51,041,D,Owner,No overcrowding,30.1-50% AMI,2+ families in household
"Chesterfield County, Virginia",2055.0,357.0,11.0,05000US51041,51,041,D,Owner,No overcrowding,30.1-50% AMI,Non-family household
"Chesterfield County, Virginia",11030.0,828.0,12.0,05000US51041,51,041,S,Owner,No overcrowding,50.1-80% AMI,All
"Chesterfield County, Virginia",7760.0,739.0,13.0,05000US51041,51,041,D,Owner,No overcrowding,50.1-80% AMI,1 family household
"Chesterfield County, Virginia",365.0,171.0,14.0,05000US51041,51,041,D,Owner,No overcrowding,50.1-80% AMI,2+ families in household
"Chesterfield County, Virginia",2905.0,380.0,15.0,05000US51041,51,041,D,Owner,No overcrowding,50.1-80% AMI,Non-family household
