name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Overcrowding,Household_Income,Family_Structure
"Amherst County, Virginia",12730.0,370.0,1.0,05000US51009,51,009,T,All,All,All,All
"Amherst County, Virginia",9680.0,490.0,2.0,05000US51009,51,009,S,Owner,All,All,All
"Amherst County, Virginia",9610.0,478.0,3.0,05000US51009,51,009,S,Owner,No overcrowding,All,All
"Amherst County, Virginia",900.0,246.0,4.0,05000US51009,51,009,S,Owner,No overcrowding,30% AMI or less,All
"Amherst County, Virginia",335.0,118.0,5.0,05000US51009,51,009,D,Owner,No overcrowding,30% AMI or less,1 family household
"Amherst County, Virginia",0.0,161.0,6.0,05000US51009,51,009,D,Owner,No overcrowding,30% AMI or less,2+ families in household
"Amherst County, Virginia",565.0,218.0,7.0,05000US51009,51,009,D,Owner,No overcrowding,30% AMI or less,Non-family household
"Amherst County, Virginia",880.0,237.0,8.0,05000US51009,51,009,S,Owner,No overcrowding,30.1-50% AMI,All
"Amherst County, Virginia",525.0,212.0,9.0,05000US51009,51,009,D,Owner,No overcrowding,30.1-50% AMI,1 family household
"Amherst County, Virginia",0.0,161.0,10.0,05000US51009,51,009,D,Owner,No overcrowding,30.1-50% AMI,2+ families in household
"Amherst County, Virginia",355.0,139.0,11.0,05000US51009,51,009,D,Owner,No overcrowding,30.1-50% AMI,Non-family household
"Amherst County, Virginia",1645.0,313.0,12.0,05000US51009,51,009,S,Owner,No overcrowding,50.1-80% AMI,All
"Amherst County, Virginia",995.0,234.0,13.0,05000US51009,51,009,D,Owner,No overcrowding,50.1-80% AMI,1 family household
"Amherst County, Virginia",10.0,24.0,14.0,05000US51009,51,009,D,Owner,No overcrowding,50.1-80% AMI,2+ families in household
"Amherst County, Virginia",635.0,204.0,15.0,05000US51009,51,009,D,Owner,No overcrowding,50.1-80% AMI,Non-family household
"Amherst County, Virginia",625.0,212.0,16.0,05000US51009,51,009,S,Owner,No overcrowding,80.1-95% AMI,All
