name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Overcrowding,Household_Income,Family_Structure
"Hopewell city, Virginia",8740.0,394.0,1.0,05000US51670,51,670,T,All,All,All,All
"Hopewell city, Virginia",4490.0,458.0,2.0,05000US51670,51,670,S,Owner,All,All,All
"Hopewell city, Virginia",4490.0,458.0,3.0,05000US51670,51,670,S,Owner,No overcrowding,All,All
"Hopewell city, Virginia",310.0,156.0,4.0,05000US51670,51,670,S,Owner,No overcrowding,30% AMI or less,All
"Hopewell city, Virginia",100.0,83.0,5.0,05000US51670,51,670,D,Owner,No overcrowding,30% AMI or less,1 family household
"Hopewell city, Virginia",0.0,161.0,6.0,05000US51670,51,670,D,Owner,No overcrowding,30% AMI or less,2+ families in household
"Hopewell city, Virginia",215.0,131.0,7.0,05000US51670,51,670,D,Owner,No overcrowding,30% AMI or less,Non-family household
"Hopewell city, Virginia",495.0,172.0,8.0,05000US51670,51,670,S,Owner,No overcrowding,30.1-50% AMI,All
"Hopewell city, Virginia",160.0,105.0,9.0,05000US51670,51,670,D,Owner,No overcrowding,30.1-50% AMI,1 family household
"Hopewell city, Virginia",40.0,52.0,10.0,05000US51670,51,670,D,Owner,No overcrowding,30.1-50% AMI,2+ families in household
"Hopewell city, Virginia",295.0,143.0,11.0,05000US51670,51,670,D,Owner,No overcrowding,30.1-50% AMI,Non-family household
"Hopewell city, Virginia",955.0,263.0,12.0,05000US51670,51,670,S,Owner,No overcrowding,50.1-80% AMI,All
"Hopewell city, Virginia",545.0,206.0,13.0,05000US51670,51,670,D,Owner,No overcrowding,50.1-80% AMI,1 family household
"Hopewell city, Virginia",0.0,161.0,14.0,05000US51670,51,670,D,Owner,No overcrowding,50.1-80% AMI,2+ families in household
"Hopewell city, Virginia",410.0,163.0,15.0,05000US51670,51,670,D,Owner,No overcrowding,50.1-80% AMI,Non-family household
"Hopewell city, Virginia",455.0,182.0,16.0,05000US51670,51,670,S,Owner,No overcrowding,80.1-95% AMI,All
"Hopewell city, Virginia",190.0,110.0,17.0,05000US51670,51,670,D,Owner,No overcrowding,80.1-95% AMI,1 family household
"Hopewell city, Virginia",0.0,161.0,18.0,05000US51670,51,670,D,Owner,No overcrowding,80.1-95% AMI,2+ families in household
"Hopewell city, Virginia",270.0,131.0,19.0,05000US51670,51,670,D,Owner,No overcrowding,80.1-95% AMI,Non-family household
"Hopewell city, Virginia",2270.0,387.0,20.0,05000US51670,51,670,S,Owner,No overcrowding,95.1% AMI and above,All
"Hopewell city, Virginia",1775.0,363.0,21.0,05000US51670,51,670,D,Owner,No overcrowding,95.1% AMI and above,1 family household
"Hopewell city, Virginia",30.0,43.0,22.0,05000US51670,51,670,D,Owner,No overcrowding,95.1% AMI and above,2+ families in household
"Hopewell city, Virginia",465.0,217.0,23.0,05000US51670,51,670,D,Owner,No overcrowding,95.1% AMI and above,Non-family household
"Hopewell city, Virginia",0.0,161.0,24.0,05000US51670,51,670,S,Owner,Moderate overcrowding,All,All
"Hopewell city, Virginia",0.0,161.0,25.0,05000US51670,51,670,S,Owner,Moderate overcrowding,30% AMI or less,All
"Hopewell city, Virginia",0.0,161.0,26.0,05000US51670,51,670,D,Owner,Moderate overcrowding,30% AMI or less,1 family household
