name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Overcrowding,Household_Income,Family_Structure
"Tazewell County, Virginia",17755.0,507.0,1.0,05000US51185,51,185,T,All,All,All,All
"Tazewell County, Virginia",13110.0,549.0,2.0,05000US51185,51,185,S,Owner,All,All,All
"Tazewell County, Virginia",13080.0,552.0,3.0,05000US51185,51,185,S,Owner,No overcrowding,All,All
"Tazewell County, Virginia",1475.0,327.0,4.0,05000US51185,51,185,S,Owner,No overcrowding,30% AMI or less,All
"Tazewell County, Virginia",560.0,208.0,5.0,05000US51185,51,185,D,Owner,No overcrowding,30% AMI or less,1 family household
"Tazewell County, Virginia",25.0,47.0,6.0,05000US51185,51,185,D,Owner,No overcrowding,30% AMI or less,2+ families in household
"Tazewell County, Virginia",890.0,240.0,7.0,05000US51185,51,185,D,Owner,No overcrowding,30% AMI or less,Non-family household
"Tazewell County, Virginia",2125.0,355.0,8.0,05000US51185,51,185,S,Owner,No overcrowding,30.1-50% AMI,All
"Tazewell County, Virginia",1090.0,290.0,9.0,05000US51185,51,185,D,Owner,No overcrowding,30.1-50% AMI,1 family household
"Tazewell County, Virginia",70.0,72.0,10.0,05000US51185,51,185,D,Owner,No overcrowding,30.1-50% AMI,2+ families in household
"Tazewell County, Virginia",965.0,258.0,11.0,05000US51185,51,185,D,Owner,No overcrowding,30.1-50% AMI,Non-family household
"Tazewell County, Virginia",2275.0,389.0,12.0,05000US51185,51,185,S,Owner,No overcrowding,50.1-80% AMI,All
"Tazewell County, Virginia",1620.0,328.0,13.0,05000US51185,51,185,D,Owner,No overcrowding,50.1-80% AMI,1 family household
"Tazewell County, Virginia",50.0,48.0,14.0,05000US51185,51,185,D,Owner,No overcrowding,50.1-80% AMI,2+ families in household
"Tazewell County, Virginia",605.0,192.0,15.0,05000US51185,51,185,D,Owner,No overcrowding,50.1-80% AMI,Non-family household
"Tazewell County, Virginia",1140.0,291.0,16.0,05000US51185,51,185,S,Owner,No overcrowding,80.1-95% AMI,All
"Tazewell County, Virginia",985.0,276.0,17.0,05000US51185,51,185,D,Owner,No overcrowding,80.1-95% AMI,1 family household
"Tazewell County, Virginia",0.0,161.0,18.0,05000US51185,51,185,D,Owner,No overcrowding,80.1-95% AMI,2+ families in household
"Tazewell County, Virginia",155.0,87.0,19.0,05000US51185,51,185,D,Owner,No overcrowding,80.1-95% AMI,Non-family household
"Tazewell County, Virginia",6065.0,542.0,20.0,05000US51185,51,185,S,Owner,No overcrowding,95.1% AMI and above,All
"Tazewell County, Virginia",5295.0,516.0,21.0,05000US51185,51,185,D,Owner,No overcrowding,95.1% AMI and above,1 family household
"Tazewell County, Virginia",145.0,89.0,22.0,05000US51185,51,185,D,Owner,No overcrowding,95.1% AMI and above,2+ families in household
"Tazewell County, Virginia",625.0,186.0,23.0,05000US51185,51,185,D,Owner,No overcrowding,95.1% AMI and above,Non-family household
