name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Overcrowding,Household_Income,Family_Structure
"Isle of Wight County, Virginia",13575.0,252.0,1.0,05000US51093,51,093,T,All,All,All,All
"Isle of Wight County, Virginia",11025.0,445.0,2.0,05000US51093,51,093,S,Owner,All,All,All
"Isle of Wight County, Virginia",10950.0,461.0,3.0,05000US51093,51,093,S,Owner,No overcrowding,All,All
"Isle of Wight County, Virginia",830.0,254.0,4.0,05000US51093,51,093,S,Owner,No overcrowding,30% AMI or less,All
"Isle of Wight County, Virginia",295.0,132.0,5.0,05000US51093,51,093,D,Owner,No overcrowding,30% AMI or less,1 family household
"Isle of Wight County, Virginia",0.0,161.0,6.0,05000US51093,51,093,D,Owner,No overcrowding,30% AMI or less,2+ families in household
"Isle of Wight County, Virginia",540.0,195.0,7.0,05000US51093,51,093,D,Owner,No overcrowding,30% AMI or less,Non-family household
"Isle of Wight County, Virginia",1135.0,241.0,8.0,05000US51093,51,093,S,Owner,No overcrowding,30.1-50% AMI,All
"Isle of Wight County, Virginia",795.0,239.0,9.0,05000US51093,51,093,D,Owner,No overcrowding,30.1-50% AMI,1 family household
"Isle of Wight County, Virginia",20.0,37.0,10.0,05000US51093,51,093,D,Owner,No overcrowding,30.1-50% AMI,2+ families in household
"Isle of Wight County, Virginia",320.0,116.0,11.0,05000US51093,51,093,D,Owner,No overcrowding,30.1-50% AMI,Non-family household
"Isle of Wight County, Virginia",1235.0,281.0,12.0,05000US51093,51,093,S,Owner,No overcrowding,50.1-80% AMI,All
"Isle of Wight County, Virginia",865.0,250.0,13.0,05000US51093,51,093,D,Owner,No overcrowding,50.1-80% AMI,1 family household
"Isle of Wight County, Virginia",40.0,37.0,14.0,05000US51093,51,093,D,Owner,No overcrowding,50.1-80% AMI,2+ families in household
"Isle of Wight County, Virginia",325.0,134.0,15.0,05000US51093,51,093,D,Owner,No overcrowding,50.1-80% AMI,Non-family household
"Isle of Wight County, Virginia",985.0,261.0,16.0,05000US51093,51,093,S,Owner,No overcrowding,80.1-95% AMI,All
"Isle of Wight County, Virginia",700.0,235.0,17.0,05000US51093,51,093,D,Owner,No overcrowding,80.1-95% AMI,1 family household
"Isle of Wight County, Virginia",0.0,161.0,18.0,05000US51093,51,093,D,Owner,No overcrowding,80.1-95% AMI,2+ families in household
"Isle of Wight County, Virginia",285.0,144.0,19.0,05000US51093,51,093,D,Owner,No overcrowding,80.1-95% AMI,Non-family household
"Isle of Wight County, Virginia",6765.0,541.0,20.0,05000US51093,51,093,S,Owner,No overcrowding,95.1% AMI and above,All
"Isle of Wight County, Virginia",5840.0,498.0,21.0,05000US51093,51,093,D,Owner,No overcrowding,95.1% AMI and above,1 family household
"Isle of Wight County, Virginia",135.0,83.0,22.0,05000US51093,51,093,D,Owner,No overcrowding,95.1% AMI and above,2+ families in household
"Isle of Wight County, Virginia",790.0,213.0,23.0,05000US51093,51,093,D,Owner,No overcrowding,95.1% AMI and above,Non-family household
"Isle of Wight County, Virginia",70.0,64.0,24.0,05000US51093,51,093,S,Owner,Moderate overcrowding,All,All
