name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Elderly_Status
"Gloucester County, Virginia",14380.0,432.0,1.0,05000US51073,51,073,T,All,All,All,All
"Gloucester County, Virginia",11495.0,586.0,2.0,05000US51073,51,073,S,Owner,All,All,All
"Gloucester County, Virginia",2610.0,395.0,3.0,05000US51073,51,073,S,Owner,yes,All,All
"Gloucester County, Virginia",285.0,124.0,4.0,05000US51073,51,073,S,Owner,yes,30% AMI or less,All
"Gloucester County, Virginia",60.0,57.0,5.0,05000US51073,51,073,D,Owner,yes,30% AMI or less,Elderly
"Gloucester County, Virginia",35.0,46.0,6.0,05000US51073,51,073,D,Owner,yes,30% AMI or less,Extra-elderly
"Gloucester County, Virginia",190.0,104.0,7.0,05000US51073,51,073,D,Owner,yes,30% AMI or less,Non-elderly
"Gloucester County, Virginia",400.0,139.0,8.0,05000US51073,51,073,S,Owner,yes,30.1-50% AMI,All
"Gloucester County, Virginia",45.0,52.0,9.0,05000US51073,51,073,D,Owner,yes,30.1-50% AMI,Elderly
"Gloucester County, Virginia",90.0,89.0,10.0,05000US51073,51,073,D,Owner,yes,30.1-50% AMI,Extra-elderly
"Gloucester County, Virginia",260.0,120.0,11.0,05000US51073,51,073,D,Owner,yes,30.1-50% AMI,Non-elderly
"Gloucester County, Virginia",760.0,243.0,12.0,05000US51073,51,073,S,Owner,yes,50.1-80% AMI,All
"Gloucester County, Virginia",200.0,103.0,13.0,05000US51073,51,073,D,Owner,yes,50.1-80% AMI,Elderly
"Gloucester County, Virginia",25.0,41.0,14.0,05000US51073,51,073,D,Owner,yes,50.1-80% AMI,Extra-elderly
"Gloucester County, Virginia",535.0,223.0,15.0,05000US51073,51,073,D,Owner,yes,50.1-80% AMI,Non-elderly
"Gloucester County, Virginia",440.0,215.0,16.0,05000US51073,51,073,S,Owner,yes,80.1-95% AMI,All
"Gloucester County, Virginia",95.0,76.0,17.0,05000US51073,51,073,D,Owner,yes,80.1-95% AMI,Elderly
"Gloucester County, Virginia",0.0,161.0,18.0,05000US51073,51,073,D,Owner,yes,80.1-95% AMI,Extra-elderly
"Gloucester County, Virginia",345.0,205.0,19.0,05000US51073,51,073,D,Owner,yes,80.1-95% AMI,Non-elderly
"Gloucester County, Virginia",725.0,244.0,20.0,05000US51073,51,073,S,Owner,yes,95.1% AMI and above,All
"Gloucester County, Virginia",70.0,63.0,21.0,05000US51073,51,073,D,Owner,yes,95.1% AMI and above,Elderly
"Gloucester County, Virginia",0.0,161.0,22.0,05000US51073,51,073,D,Owner,yes,95.1% AMI and above,Extra-elderly
"Gloucester County, Virginia",655.0,236.0,23.0,05000US51073,51,073,D,Owner,yes,95.1% AMI and above,Non-elderly
"Gloucester County, Virginia",8775.0,575.0,24.0,05000US51073,51,073,S,Owner,no,All,All
"Gloucester County, Virginia",160.0,96.0,25.0,05000US51073,51,073,S,Owner,no,30% AMI or less,All
"Gloucester County, Virginia",20.0,33.0,26.0,05000US51073,51,073,D,Owner,no,30% AMI or less,Elderly
"Gloucester County, Virginia",95.0,81.0,27.0,05000US51073,51,073,D,Owner,no,30% AMI or less,Extra-elderly
"Gloucester County, Virginia",50.0,59.0,28.0,05000US51073,51,073,D,Owner,no,30% AMI or less,Non-elderly
"Gloucester County, Virginia",485.0,178.0,29.0,05000US51073,51,073,S,Owner,no,30.1-50% AMI,All
"Gloucester County, Virginia",135.0,99.0,30.0,05000US51073,51,073,D,Owner,no,30.1-50% AMI,Elderly
"Gloucester County, Virginia",95.0,85.0,31.0,05000US51073,51,073,D,Owner,no,30.1-50% AMI,Extra-elderly
"Gloucester County, Virginia",250.0,128.0,32.0,05000US51073,51,073,D,Owner,no,30.1-50% AMI,Non-elderly
"Gloucester County, Virginia",1270.0,365.0,33.0,05000US51073,51,073,S,Owner,no,50.1-80% AMI,All
"Gloucester County, Virginia",275.0,135.0,34.0,05000US51073,51,073,D,Owner,no,50.1-80% AMI,Elderly
"Gloucester County, Virginia",155.0,98.0,35.0,05000US51073,51,073,D,Owner,no,50.1-80% AMI,Extra-elderly
"Gloucester County, Virginia",835.0,328.0,36.0,05000US51073,51,073,D,Owner,no,50.1-80% AMI,Non-elderly
"Gloucester County, Virginia",465.0,182.0,37.0,05000US51073,51,073,S,Owner,no,80.1-95% AMI,All
"Gloucester County, Virginia",70.0,81.0,38.0,05000US51073,51,073,D,Owner,no,80.1-95% AMI,Elderly
"Gloucester County, Virginia",65.0,66.0,39.0,05000US51073,51,073,D,Owner,no,80.1-95% AMI,Extra-elderly
"Gloucester County, Virginia",325.0,146.0,40.0,05000US51073,51,073,D,Owner,no,80.1-95% AMI,Non-elderly
"Gloucester County, Virginia",6400.0,520.0,41.0,05000US51073,51,073,S,Owner,no,95.1% AMI and above,All
"Gloucester County, Virginia",1005.0,219.0,42.0,05000US51073,51,073,D,Owner,no,95.1% AMI and above,Elderly
"Gloucester County, Virginia",755.0,233.0,43.0,05000US51073,51,073,D,Owner,no,95.1% AMI and above,Extra-elderly
"Gloucester County, Virginia",4645.0,474.0,44.0,05000US51073,51,073,D,Owner,no,95.1% AMI and above,Non-elderly
"Gloucester County, Virginia",110.0,116.0,45.0,05000US51073,51,073,S,Owner,N/A,All,All
"Gloucester County, Virginia",110.0,116.0,46.0,05000US51073,51,073,S,Owner,N/A,30% AMI or less,All
"Gloucester County, Virginia",0.0,161.0,47.0,05000US51073,51,073,D,Owner,N/A,30% AMI or less,Elderly
"Gloucester County, Virginia",15.0,31.0,48.0,05000US51073,51,073,D,Owner,N/A,30% AMI or less,Extra-elderly
"Gloucester County, Virginia",95.0,111.0,49.0,05000US51073,51,073,D,Owner,N/A,30% AMI or less,Non-elderly
"Gloucester County, Virginia",0.0,161.0,50.0,05000US51073,51,073,S,Owner,N/A,30.1-50% AMI,All
"Gloucester County, Virginia",0.0,161.0,51.0,05000US51073,51,073,D,Owner,N/A,30.1-50% AMI,Elderly
"Gloucester County, Virginia",0.0,161.0,52.0,05000US51073,51,073,D,Owner,N/A,30.1-50% AMI,Extra-elderly
"Gloucester County, Virginia",0.0,161.0,53.0,05000US51073,51,073,D,Owner,N/A,30.1-50% AMI,Non-elderly
"Gloucester County, Virginia",0.0,161.0,54.0,05000US51073,51,073,S,Owner,N/A,50.1-80% AMI,All
"Gloucester County, Virginia",0.0,161.0,55.0,05000US51073,51,073,D,Owner,N/A,50.1-80% AMI,Elderly
"Gloucester County, Virginia",0.0,161.0,56.0,05000US51073,51,073,D,Owner,N/A,50.1-80% AMI,Extra-elderly
"Gloucester County, Virginia",0.0,161.0,57.0,05000US51073,51,073,D,Owner,N/A,50.1-80% AMI,Non-elderly
"Gloucester County, Virginia",0.0,161.0,58.0,05000US51073,51,073,S,Owner,N/A,80.1-95% AMI,All
"Gloucester County, Virginia",0.0,161.0,59.0,05000US51073,51,073,D,Owner,N/A,80.1-95% AMI,Elderly
"Gloucester County, Virginia",0.0,161.0,60.0,05000US51073,51,073,D,Owner,N/A,80.1-95% AMI,Extra-elderly
"Gloucester County, Virginia",0.0,161.0,61.0,05000US51073,51,073,D,Owner,N/A,80.1-95% AMI,Non-elderly
"Gloucester County, Virginia",0.0,161.0,62.0,05000US51073,51,073,S,Owner,N/A,95.1% AMI and above,All
"Gloucester County, Virginia",0.0,161.0,63.0,05000US51073,51,073,D,Owner,N/A,95.1% AMI and above,Elderly
"Gloucester County, Virginia",0.0,161.0,64.0,05000US51073,51,073,D,Owner,N/A,95.1% AMI and above,Extra-elderly
"Gloucester County, Virginia",0.0,161.0,65.0,05000US51073,51,073,D,Owner,N/A,95.1% AMI and above,Non-elderly
"Gloucester County, Virginia",2885.0,463.0,66.0,05000US51073,51,073,S,Renter,All,All,All
"Gloucester County, Virginia",1010.0,343.0,67.0,05000US51073,51,073,S,Renter,Yes,All,All
"Gloucester County, Virginia",435.0,254.0,68.0,05000US51073,51,073,S,Renter,Yes,30% AMI or less,All
