name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Elderly_Status
"Portsmouth city, Virginia",38850.0,754.0,1.0,05000US51740,51,740,T,All,All,All,All
"Portsmouth city, Virginia",24145.0,837.0,2.0,05000US51740,51,740,S,Owner,All,All,All
"Portsmouth city, Virginia",9305.0,703.0,3.0,05000US51740,51,740,S,Owner,yes,All,All
"Portsmouth city, Virginia",1670.0,349.0,4.0,05000US51740,51,740,S,Owner,yes,30% AMI or less,All
"Portsmouth city, Virginia",370.0,137.0,5.0,05000US51740,51,740,D,Owner,yes,30% AMI or less,Elderly
"Portsmouth city, Virginia",655.0,218.0,6.0,05000US51740,51,740,D,Owner,yes,30% AMI or less,Extra-elderly
"Portsmouth city, Virginia",645.0,248.0,7.0,05000US51740,51,740,D,Owner,yes,30% AMI or less,Non-elderly
"Portsmouth city, Virginia",1995.0,402.0,8.0,05000US51740,51,740,S,Owner,yes,30.1-50% AMI,All
"Portsmouth city, Virginia",485.0,156.0,9.0,05000US51740,51,740,D,Owner,yes,30.1-50% AMI,Elderly
"Portsmouth city, Virginia",470.0,175.0,10.0,05000US51740,51,740,D,Owner,yes,30.1-50% AMI,Extra-elderly
"Portsmouth city, Virginia",1040.0,296.0,11.0,05000US51740,51,740,D,Owner,yes,30.1-50% AMI,Non-elderly
"Portsmouth city, Virginia",2585.0,453.0,12.0,05000US51740,51,740,S,Owner,yes,50.1-80% AMI,All
"Portsmouth city, Virginia",540.0,150.0,13.0,05000US51740,51,740,D,Owner,yes,50.1-80% AMI,Elderly
"Portsmouth city, Virginia",285.0,109.0,14.0,05000US51740,51,740,D,Owner,yes,50.1-80% AMI,Extra-elderly
"Portsmouth city, Virginia",1755.0,434.0,15.0,05000US51740,51,740,D,Owner,yes,50.1-80% AMI,Non-elderly
"Portsmouth city, Virginia",1160.0,331.0,16.0,05000US51740,51,740,S,Owner,yes,80.1-95% AMI,All
"Portsmouth city, Virginia",185.0,91.0,17.0,05000US51740,51,740,D,Owner,yes,80.1-95% AMI,Elderly
"Portsmouth city, Virginia",50.0,54.0,18.0,05000US51740,51,740,D,Owner,yes,80.1-95% AMI,Extra-elderly
"Portsmouth city, Virginia",930.0,305.0,19.0,05000US51740,51,740,D,Owner,yes,80.1-95% AMI,Non-elderly
"Portsmouth city, Virginia",1895.0,344.0,20.0,05000US51740,51,740,S,Owner,yes,95.1% AMI and above,All
"Portsmouth city, Virginia",230.0,122.0,21.0,05000US51740,51,740,D,Owner,yes,95.1% AMI and above,Elderly
"Portsmouth city, Virginia",105.0,90.0,22.0,05000US51740,51,740,D,Owner,yes,95.1% AMI and above,Extra-elderly
"Portsmouth city, Virginia",1560.0,295.0,23.0,05000US51740,51,740,D,Owner,yes,95.1% AMI and above,Non-elderly
"Portsmouth city, Virginia",14810.0,708.0,24.0,05000US51740,51,740,S,Owner,no,All,All
"Portsmouth city, Virginia",175.0,104.0,25.0,05000US51740,51,740,S,Owner,no,30% AMI or less,All
"Portsmouth city, Virginia",10.0,21.0,26.0,05000US51740,51,740,D,Owner,no,30% AMI or less,Elderly
"Portsmouth city, Virginia",110.0,69.0,27.0,05000US51740,51,740,D,Owner,no,30% AMI or less,Extra-elderly
"Portsmouth city, Virginia",55.0,92.0,28.0,05000US51740,51,740,D,Owner,no,30% AMI or less,Non-elderly
