name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Elderly_Status
"Augusta County, Virginia",27370.0,424.0,1.0,05000US51015,51,015,T,All,All,All,All
"Augusta County, Virginia",21725.0,665.0,2.0,05000US51015,51,015,S,Owner,All,All,All
"Augusta County, Virginia",4880.0,673.0,3.0,05000US51015,51,015,S,Owner,yes,All,All
"Augusta County, Virginia",1050.0,391.0,4.0,05000US51015,51,015,S,Owner,yes,30% AMI or less,All
"Augusta County, Virginia",140.0,90.0,5.0,05000US51015,51,015,D,Owner,yes,30% AMI or less,Elderly
"Augusta County, Virginia",480.0,281.0,6.0,05000US51015,51,015,D,Owner,yes,30% AMI or less,Extra-elderly
"Augusta County, Virginia",435.0,187.0,7.0,05000US51015,51,015,D,Owner,yes,30% AMI or less,Non-elderly
"Augusta County, Virginia",1115.0,304.0,8.0,05000US51015,51,015,S,Owner,yes,30.1-50% AMI,All
"Augusta County, Virginia",190.0,103.0,9.0,05000US51015,51,015,D,Owner,yes,30.1-50% AMI,Elderly
"Augusta County, Virginia",225.0,120.0,10.0,05000US51015,51,015,D,Owner,yes,30.1-50% AMI,Extra-elderly
"Augusta County, Virginia",700.0,287.0,11.0,05000US51015,51,015,D,Owner,yes,30.1-50% AMI,Non-elderly
"Augusta County, Virginia",1005.0,301.0,12.0,05000US51015,51,015,S,Owner,yes,50.1-80% AMI,All
"Augusta County, Virginia",210.0,146.0,13.0,05000US51015,51,015,D,Owner,yes,50.1-80% AMI,Elderly
"Augusta County, Virginia",75.0,75.0,14.0,05000US51015,51,015,D,Owner,yes,50.1-80% AMI,Extra-elderly
"Augusta County, Virginia",720.0,252.0,15.0,05000US51015,51,015,D,Owner,yes,50.1-80% AMI,Non-elderly
"Augusta County, Virginia",410.0,198.0,16.0,05000US51015,51,015,S,Owner,yes,80.1-95% AMI,All
"Augusta County, Virginia",85.0,95.0,17.0,05000US51015,51,015,D,Owner,yes,80.1-95% AMI,Elderly
"Augusta County, Virginia",70.0,72.0,18.0,05000US51015,51,015,D,Owner,yes,80.1-95% AMI,Extra-elderly
