name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Bedrooms
"Accomack County, Virginia",300.0,206.0,1.0,05000US51001,51,001,T,All,All,All
"Accomack County, Virginia",0.0,161.0,2.0,05000US51001,51,001,S,Substandard,All,All
"Accomack County, Virginia",300.0,206.0,3.0,05000US51001,51,001,S,Standard,All,All
"Accomack County, Virginia",150.0,150.0,4.0,05000US51001,51,001,S,Standard,RHUD30,All
"Accomack County, Virginia",0.0,161.0,5.0,05000US51001,51,001,D,Standard,RHUD30,0 or 1
"Accomack County, Virginia",95.0,119.0,6.0,05000US51001,51,001,D,Standard,RHUD30,2
"Accomack County, Virginia",55.0,90.0,7.0,05000US51001,51,001,D,Standard,RHUD30,3 or more
"Accomack County, Virginia",45.0,52.0,8.0,05000US51001,51,001,S,Standard,RHUD50,All
"Accomack County, Virginia",0.0,161.0,9.0,05000US51001,51,001,D,Standard,RHUD50,0 or 1
"Accomack County, Virginia",0.0,161.0,10.0,05000US51001,51,001,D,Standard,RHUD50,2
"Accomack County, Virginia",45.0,52.0,11.0,05000US51001,51,001,D,Standard,RHUD50,3 or more
"Accomack County, Virginia",105.0,122.0,12.0,05000US51001,51,001,S,Standard,RHUD80,All
"Accomack County, Virginia",0.0,161.0,13.0,05000US51001,51,001,D,Standard,RHUD80,0 or 1
"Accomack County, Virginia",105.0,122.0,14.0,05000US51001,51,001,D,Standard,RHUD80,2
"Accomack County, Virginia",0.0,161.0,15.0,05000US51001,51,001,D,Standard,RHUD80,3 or more
"Accomack County, Virginia",0.0,161.0,16.0,05000US51001,51,001,S,Standard,Greater than RHUD80,All
"Accomack County, Virginia",0.0,161.0,17.0,05000US51001,51,001,D,Standard,Greater than RHUD80,0 or 1
"Accomack County, Virginia",0.0,161.0,18.0,05000US51001,51,001,D,Standard,Greater than RHUD80,2
"Accomack County, Virginia",0.0,161.0,19.0,05000US51001,51,001,D,Standard,Greater than RHUD80,3 or more
