name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Race,Cost_Burden
"Carroll County, Virginia",12745.0,543.0,1.0,05000US51035,51,035,T,All,All,All
"Carroll County, Virginia",9410.0,459.0,2.0,05000US51035,51,035,S,Owner,All,All
"Carroll County, Virginia",9245.0,440.0,3.0,05000US51035,51,035,S,Owner,White,All
"Carroll County, Virginia",7670.0,550.0,4.0,05000US51035,51,035,D,Owner,White,No cost burden
"Carroll County, Virginia",770.0,250.0,5.0,05000US51035,51,035,D,Owner,White,Moderate cost burden
"Carroll County, Virginia",720.0,280.0,6.0,05000US51035,51,035,D,Owner,White,Severe cost burden
"Carroll County, Virginia",85.0,72.0,7.0,05000US51035,51,035,D,Owner,White,N/A
"Carroll County, Virginia",60.0,60.0,8.0,05000US51035,51,035,S,Owner,Black,All
"Carroll County, Virginia",60.0,60.0,9.0,05000US51035,51,035,D,Owner,Black,No cost burden
"Carroll County, Virginia",0.0,161.0,10.0,05000US51035,51,035,D,Owner,Black,Moderate cost burden
"Carroll County, Virginia",0.0,161.0,11.0,05000US51035,51,035,D,Owner,Black,Severe cost burden
"Carroll County, Virginia",0.0,161.0,12.0,05000US51035,51,035,D,Owner,Black,N/A
"Carroll County, Virginia",0.0,161.0,13.0,05000US51035,51,035,S,Owner,Asian,All
"Carroll County, Virginia",0.0,161.0,14.0,05000US51035,51,035,D,Owner,Asian,No cost burden
"Carroll County, Virginia",0.0,161.0,15.0,05000US51035,51,035,D,Owner,Asian,Moderate cost burden
"Carroll County, Virginia",0.0,161.0,16.0,05000US51035,51,035,D,Owner,Asian,Severe cost burden
"Carroll County, Virginia",0.0,161.0,17.0,05000US51035,51,035,D,Owner,Asian,N/A
"Carroll County, Virginia",0.0,161.0,18.0,05000US51035,51,035,S,Owner,American Indian,All
"Carroll County, Virginia",0.0,161.0,19.0,05000US51035,51,035,D,Owner,American Indian,No cost burden
"Carroll County, Virginia",0.0,161.0,20.0,05000US51035,51,035,D,Owner,American Indian,Moderate cost burden
"Carroll County, Virginia",0.0,161.0,21.0,05000US51035,51,035,D,Owner,American Indian,Severe cost burden
"Carroll County, Virginia",0.0,161.0,22.0,05000US51035,51,035,D,Owner,American Indian,N/A
"Carroll County, Virginia",0.0,161.0,23.0,05000US51035,51,035,S,Owner,Pacific Islander,All
"Carroll County, Virginia",0.0,161.0,24.0,05000US51035,51,035,D,Owner,Pacific Islander,No cost burden
"Carroll County, Virginia",0.0,161.0,25.0,05000US51035,51,035,D,Owner,Pacific Islander,Moderate cost burden
"Carroll County, Virginia",0.0,161.0,26.0,05000US51035,51,035,D,Owner,Pacific Islander,Severe cost burden
"Carroll County, Virginia",0.0,161.0,27.0,05000US51035,51,035,D,Owner,Pacific Islander,N/A
