name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Year_Structure_Built,Household_Income,Cost_Burden
"Lee County, Virginia",9415.0,468.0,1.0,05000US51105,51,105,T,All,All,All,All
"Lee County, Virginia",6710.0,434.0,2.0,05000US51105,51,105,S,Owner,All,All,All
"Lee County, Virginia",315.0,143.0,3.0,05000US51105,51,105,S,Owner,2000+,All,All
"Lee County, Virginia",125.0,99.0,4.0,05000US51105,51,105,S,Owner,2000+,<=50% AMI,All
"Lee County, Virginia",15.0,23.0,5.0,05000US51105,51,105,D,Owner,2000+,<=50% AMI,No cost burden
"Lee County, Virginia",90.0,86.0,6.0,05000US51105,51,105,D,Owner,2000+,<=50% AMI,Moderate cost burden
"Lee County, Virginia",25.0,45.0,7.0,05000US51105,51,105,D,Owner,2000+,<=50% AMI,Severe cost burden
"Lee County, Virginia",0.0,161.0,8.0,05000US51105,51,105,D,Owner,2000+,<=50% AMI,N/A
"Lee County, Virginia",40.0,54.0,9.0,05000US51105,51,105,S,Owner,2000+,50.1-80% AMI,All
"Lee County, Virginia",25.0,48.0,10.0,05000US51105,51,105,D,Owner,2000+,50.1-80% AMI,No cost burden
"Lee County, Virginia",0.0,161.0,11.0,05000US51105,51,105,D,Owner,2000+,50.1-80% AMI,Moderate cost burden
"Lee County, Virginia",15.0,25.0,12.0,05000US51105,51,105,D,Owner,2000+,50.1-80% AMI,Severe cost burden
"Lee County, Virginia",0.0,161.0,13.0,05000US51105,51,105,D,Owner,2000+,50.1-80% AMI,N/A
"Lee County, Virginia",80.0,68.0,14.0,05000US51105,51,105,S,Owner,2000+,80.1-120% AMI,All
"Lee County, Virginia",70.0,65.0,15.0,05000US51105,51,105,D,Owner,2000+,80.1-120% AMI,No cost burden
"Lee County, Virginia",10.0,18.0,16.0,05000US51105,51,105,D,Owner,2000+,80.1-120% AMI,Moderate cost burden
"Lee County, Virginia",0.0,161.0,17.0,05000US51105,51,105,D,Owner,2000+,80.1-120% AMI,Severe cost burden
"Lee County, Virginia",0.0,161.0,18.0,05000US51105,51,105,D,Owner,2000+,80.1-120% AMI,N/A
"Lee County, Virginia",65.0,67.0,19.0,05000US51105,51,105,S,Owner,2000+,>120% AMI,All
"Lee County, Virginia",65.0,67.0,20.0,05000US51105,51,105,D,Owner,2000+,>120% AMI,No cost burden
"Lee County, Virginia",0.0,161.0,21.0,05000US51105,51,105,D,Owner,2000+,>120% AMI,Moderate cost burden
"Lee County, Virginia",0.0,161.0,22.0,05000US51105,51,105,D,Owner,2000+,>120% AMI,Severe cost burden
"Lee County, Virginia",0.0,161.0,23.0,05000US51105,51,105,D,Owner,2000+,>120% AMI,N/A
"Lee County, Virginia",1695.0,346.0,24.0,05000US51105,51,105,S,Owner,1980 to 1999,All,All
"Lee County, Virginia",515.0,231.0,25.0,05000US51105,51,105,S,Owner,1980 to 1999,<=50% AMI,All
"Lee County, Virginia",300.0,151.0,26.0,05000US51105,51,105,D,Owner,1980 to 1999,<=50% AMI,No cost burden
"Lee County, Virginia",140.0,150.0,27.0,05000US51105,51,105,D,Owner,1980 to 1999,<=50% AMI,Moderate cost burden
"Lee County, Virginia",70.0,78.0,28.0,05000US51105,51,105,D,Owner,1980 to 1999,<=50% AMI,Severe cost burden
"Lee County, Virginia",0.0,161.0,29.0,05000US51105,51,105,D,Owner,1980 to 1999,<=50% AMI,N/A
"Lee County, Virginia",265.0,133.0,30.0,05000US51105,51,105,S,Owner,1980 to 1999,50.1-80% AMI,All
"Lee County, Virginia",250.0,136.0,31.0,05000US51105,51,105,D,Owner,1980 to 1999,50.1-80% AMI,No cost burden
"Lee County, Virginia",15.0,27.0,32.0,05000US51105,51,105,D,Owner,1980 to 1999,50.1-80% AMI,Moderate cost burden
"Lee County, Virginia",0.0,161.0,33.0,05000US51105,51,105,D,Owner,1980 to 1999,50.1-80% AMI,Severe cost burden
"Lee County, Virginia",0.0,161.0,34.0,05000US51105,51,105,D,Owner,1980 to 1999,50.1-80% AMI,N/A
"Lee County, Virginia",295.0,109.0,35.0,05000US51105,51,105,S,Owner,1980 to 1999,80.1-120% AMI,All
"Lee County, Virginia",275.0,108.0,36.0,05000US51105,51,105,D,Owner,1980 to 1999,80.1-120% AMI,No cost burden
"Lee County, Virginia",0.0,161.0,37.0,05000US51105,51,105,D,Owner,1980 to 1999,80.1-120% AMI,Moderate cost burden
"Lee County, Virginia",20.0,37.0,38.0,05000US51105,51,105,D,Owner,1980 to 1999,80.1-120% AMI,Severe cost burden
"Lee County, Virginia",0.0,161.0,39.0,05000US51105,51,105,D,Owner,1980 to 1999,80.1-120% AMI,N/A
