name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Year_Structure_Built,Household_Income,Cost_Burden
"Rockingham County, Virginia",28505.0,439.0,1.0,05000US51165,51,165,T,All,All,All,All
"Rockingham County, Virginia",21055.0,615.0,2.0,05000US51165,51,165,S,Owner,All,All,All
"Rockingham County, Virginia",2470.0,318.0,3.0,05000US51165,51,165,S,Owner,2000+,All,All
"Rockingham County, Virginia",200.0,89.0,4.0,05000US51165,51,165,S,Owner,2000+,<=50% AMI,All
"Rockingham County, Virginia",115.0,71.0,5.0,05000US51165,51,165,D,Owner,2000+,<=50% AMI,No cost burden
"Rockingham County, Virginia",20.0,30.0,6.0,05000US51165,51,165,D,Owner,2000+,<=50% AMI,Moderate cost burden
"Rockingham County, Virginia",65.0,57.0,7.0,05000US51165,51,165,D,Owner,2000+,<=50% AMI,Severe cost burden
"Rockingham County, Virginia",0.0,161.0,8.0,05000US51165,51,165,D,Owner,2000+,<=50% AMI,N/A
"Rockingham County, Virginia",385.0,137.0,9.0,05000US51165,51,165,S,Owner,2000+,50.1-80% AMI,All
"Rockingham County, Virginia",170.0,98.0,10.0,05000US51165,51,165,D,Owner,2000+,50.1-80% AMI,No cost burden
"Rockingham County, Virginia",130.0,91.0,11.0,05000US51165,51,165,D,Owner,2000+,50.1-80% AMI,Moderate cost burden
"Rockingham County, Virginia",80.0,70.0,12.0,05000US51165,51,165,D,Owner,2000+,50.1-80% AMI,Severe cost burden
"Rockingham County, Virginia",0.0,161.0,13.0,05000US51165,51,165,D,Owner,2000+,50.1-80% AMI,N/A
"Rockingham County, Virginia",565.0,171.0,14.0,05000US51165,51,165,S,Owner,2000+,80.1-120% AMI,All
"Rockingham County, Virginia",320.0,120.0,15.0,05000US51165,51,165,D,Owner,2000+,80.1-120% AMI,No cost burden
"Rockingham County, Virginia",145.0,77.0,16.0,05000US51165,51,165,D,Owner,2000+,80.1-120% AMI,Moderate cost burden
"Rockingham County, Virginia",105.0,105.0,17.0,05000US51165,51,165,D,Owner,2000+,80.1-120% AMI,Severe cost burden
"Rockingham County, Virginia",0.0,161.0,18.0,05000US51165,51,165,D,Owner,2000+,80.1-120% AMI,N/A
"Rockingham County, Virginia",1325.0,220.0,19.0,05000US51165,51,165,S,Owner,2000+,>120% AMI,All
"Rockingham County, Virginia",1195.0,212.0,20.0,05000US51165,51,165,D,Owner,2000+,>120% AMI,No cost burden
