"name","estimate","margin_of_error","order","geoid","st","cnty","Line_Type","Tenure","Year_Structure_Built","Household_Income","Cost_Burden"
"Accomack County, Virginia","14920.0","633.0","1.0","05000US51001","51","001","T","All","All","All","All"
"Accomack County, Virginia","11585.0","623.0","2.0","05000US51001","51","001","S","Owner","All","All","All"
"Accomack County, Virginia","200.0","107.0","3.0","05000US51001","51","001","S","Owner","2000+","All","All"
"Accomack County, Virginia","15.0","22.0","4.0","05000US51001","51","001","S","Owner","2000+","<=50% AMI","All"
"Accomack County, Virginia","0.0","161.0","5.0","05000US51001","51","001","D","Owner","2000+","<=50% AMI","No cost burden"
"Accomack County, Virginia","10.0","20.0","6.0","05000US51001","51","001","D","Owner","2000+","<=50% AMI","Moderate cost burden"
"Accomack County, Virginia","4.0","10.0","7.0","05000US51001","51","001","D","Owner","2000+","<=50% AMI","Severe cost burden"
"Accomack County, Virginia","0.0","161.0","8.0","05000US51001","51","001","D","Owner","2000+","<=50% AMI","N/A"
"Accomack County, Virginia","45.0","64.0","9.0","05000US51001","51","001","S","Owner","2000+","50.1-80% AMI","All"
"Accomack County, Virginia","35.0","60.0","10.0","05000US51001","51","001","D","Owner","2000+","50.1-80% AMI","No cost burden"
"Accomack County, Virginia","10.0","23.0","11.0","05000US51001","51","001","D","Owner","2000+","50.1-80% AMI","Moderate cost burden"
"Accomack County, Virginia","0.0","161.0","12.0","05000US51001","51","001","D","Owner","2000+","50.1-80% AMI","Severe cost burden"
"Accomack County, Virginia","0.0","161.0","13.0","05000US51001","51","001","D","Owner","2000+","50.1-80% AMI","N/A"
"Accomack County, Virginia","0.0","161.0","14.0","05000US51001","51","001","S","Owner","2000+","80.1-120% AMI","All"
"Accomack County, Virginia","0.0","161.0","15.0","05000US51001","51","001","D","Owner","2000+","80.1-120% AMI","No cost burden"
"Accomack County, Virginia","0.0","161.0","16.0","05000US51001","51","001","D","Owner","2000+","80.1-120% AMI","Moderate cost burden"
"Accomack County, Virginia","0.0","161.0","17.0","05000US51001","51","001","D","Owner","2000+","80.1-120% AMI","Severe cost burden"
"Accomack County, Virginia","0.0","161.0","18.0","05000US51001","51","001","D","Owner","2000+","80.1-120% AMI","N/A"
"Accomack County, Virginia","135.0","84.0","19.0","05000US51001","51","001","S","Owner","2000+",">120% AMI","All"
"Accomack County, Virginia","130.0","80.0","20.0","05000US51001","51","001","D","Owner","2000+",">120% AMI","No cost burden"
"Accomack County, Virginia","4.0","10.0","21.0","05000US51001","51","001","D","Owner","2000+",">120% AMI","Moderate cost burden"
"Accomack County, Virginia","0.0","161.0","22.0","05000US51001","51","001","D","Owner","2000+",">120% AMI","Severe cost burden"
"Accomack County, Virginia","0.0","161.0","23.0","05000US51001","51","001","D","Owner","2000+",">120% AMI","N/A"
"Accomack County, Virginia","3175.0","532.0","24.0","05000US51001","51","001","S","Owner","1980 to 1999","All","All"
"Accomack County, Virginia","675.0","243.0","25.0","05000US51001","51","001","S","Owner","1980 to 1999","<=50% AMI","All"
"Accomack County, Virginia","185.0","126.0","26.0","05000US51001","51","001","D","Owner","1980 to 1999","<=50% AMI","No cost burden"
"Accomack County, Virginia","205.0","126.0","27.0","05000US51001","51","001","D","Owner","1980 to 1999","<=50% AMI","Moderate cost burden"
"Accomack County, Virginia","290.0","170.0","28.0","05000US51001","51","001","D","Owner","1980 to 1999","<=50% AMI","Severe cost burden"
"Accomack County, Virginia","0.0","161.0","29.0","05000US51001","51","001","D","Owner","1980 to 1999","<=50% AMI","N/A"
"Accomack County, Virginia","620.0","305.0","30.0","05000US51001","51","001","S","Owner","1980 to 1999","50.1-80% AMI","All"
"Accomack County, Virginia","600.0","302.0","31.0","05000US51001","51","001","D","Owner","1980 to 1999","50.1-80% AMI","No cost burden"
"Accomack County, Virginia","4.0","10.0","32.0","05000US51001","51","001","D","Owner","1980 to 1999","50.1-80% AMI","Moderate cost burden"
"Accomack County, Virginia","15.0","24.0","33.0","05000US51001","51","001","D","Owner","1980 to 1999","50.1-80% AMI","Severe cost burden"
"Accomack County, Virginia","0.0","161.0","34.0","05000US51001","51","001","D","Owner","1980 to 1999","50.1-80% AMI","N/A"
"Accomack County, Virginia","490.0","234.0","35.0","05000US51001","51","001","S","Owner","1980 to 1999","80.1-120% AMI","All"
"Accomack County, Virginia","425.0","239.0","36.0","05000US51001","51","001","D","Owner","1980 to 1999","80.1-120% AMI","No cost burden"
"Accomack County, Virginia","45.0","46.0","37.0","05000US51001","51","001","D","Owner","1980 to 1999","80.1-120% AMI","Moderate cost burden"
"Accomack County, Virginia","25.0","34.0","38.0","05000US51001","51","001","D","Owner","1980 to 1999","80.1-120% AMI","Severe cost burden"
"Accomack County, Virginia","0.0","161.0","39.0","05000US51001","51","001","D","Owner","1980 to 1999","80.1-120% AMI","N/A"
"Accomack County, Virginia","1385.0","320.0","40.0","05000US51001","51","001","S","Owner","1980 to 1999",">120% AMI","All"
"Accomack County, Virginia","1260.0","317.0","41.0","05000US51001","51","001","D","Owner","1980 to 1999",">120% AMI","No cost burden"
